Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Valor_m2_Millon,Valor_m2_Barrio
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,45,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 129.000.000,$,129000000,129.0,2.8666666666666667,4.572008510026535
Apartamento,Apartamento en venta en Villa Alsacia,3,2,75,Villa Alsacia,KENNEDY: Castilla + Bavaria,$ 350.000.000,$,350000000,350.0,4.666666666666667,4.139391447368421
Apartamento,Apartamento en venta en Zona Noroccidental,32,2,63,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 290.500.000,$,290500000,290.5,4.611111111111111,4.572008510026535
Apartamento,Apartamento en venta en Palermo,3,2,130,Palermo,Galerías,$ 750.000.000,$,750000000,750.0,5.769230769230769,3.835207308503162
Apartamento,Apartamento en venta en Chico Reservado,1,1,64,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 495.000.000,$,495000000,495.0,7.734375,8.104486540013072
Casa,Casa en venta en Zona Noroccidental,3,2,86,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000,$,285000000,285.0,3.313953488372093,4.572008510026535
Apartamento,Apartamento en venta en La Candelaria,4,4,160,La Candelaria,La Candelaria,$ 900.000.000,$,900000000,900.0,5.625,8.889242669544883
Apartamento,Apartamento en venta en Zona Noroccidental,4,4,294,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.800.000.000,$,1800000000,1800.0,6.122448979591836,4.572008510026535
Apartamento,Apartamento en venta en El Contador,3,3,206,El Contador,Los Cedros,$ 990.000.000,$,990000000,990.0,4.805825242718447,5.279454722492697
Apartamento,Apartamento en venta en El Batán,3,3,103,El Batán,La Alhambra,$ 418.000.000,$,418000000,418.0,4.058252427184466,5.0067874515333095
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000,$,349000000,349.0,4.3625,5.65558134903221
Apartamento,Apartamento en venta en Santa Barbara,3,1,101,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 565.000.000,$,565000000,565.0,5.594059405940594,5.852628361947598
Apartamento,Apartamento en venta en Mirandela ,3,3,87,Mirandela ,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 370.000.000,$,370000000,370.0,4.252873563218391,3.9920856610800746
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 259.000.000,$,259000000,259.0,3.3205128205128207,4.572008510026535
Apartamento,Apartamento en venta en Castilla,3,2,68,Castilla,KENNEDY: Castilla + Bavaria,$ 310.000.000,$,310000000,310.0,4.5588235294117645,3.4035893155258763
Apartamento,Apartamento en venta en Cedritos,2,2,79,Cedritos,Usaquén,$ 354.000.000,$,354000000,354.0,4.481012658227848,5.027419586695463
Apartamento,Apartamento en venta en Mazuren,3,3,92,Mazuren,El Prado,$ 372.000.000,$,372000000,372.0,4.043478260869565,3.8513890438469263
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,88,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 500.000.000,$,500000000,500.0,5.681818181818182,4.572008510026535
Apartamento,Apartamento en venta en Fontibón,3,2,84,Fontibón,Fontibón,$ 420.000.000,$,420000000,420.0,5.0,3.723021313477524
Apartamento,Apartamento en venta en El Contador,3,3,177,El Contador,Los Cedros,$ 1.050.000.000,$,1050000000,1050.0,5.932203389830509,5.279454722492697
Apartamento,Apartamento en venta en Kennedy,2,1,40,Kennedy,Kennedy Central,$ 185.000.000,$,185000000,185.0,4.625,3.382897908271655
Apartamento,Apartamento en venta en Usaquén,2,2,80,Usaquén,Usaquén,$ 349.000.000,$,349000000,349.0,4.3625,5.65558134903221
Apartamento,Apartamento en venta en Colina Campestre,3,3,109,Colina Campestre,Niza,$ 515.000.000,$,515000000,515.0,4.724770642201835,4.776341497750727
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,75,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 287.000.000,$,287000000,287.0,3.8266666666666667,4.572008510026535
Apartamento,Apartamento en venta en Colina Campestre,2,1,50,Colina Campestre,Niza,$ 265.000.000,$,265000000,265.0,5.3,4.776341497750727
Apartamento,Apartamento en venta en Fontibón,3,2,87,Fontibón,Fontibón,$ 500.000.000,$,500000000,500.0,5.747126436781609,3.723021313477524
Apartamento,Apartamento en venta en Usaquén,3,3,66,Usaquén,Usaquén,$ 261.500.000,$,261500000,261.5,3.962121212121212,5.65558134903221
Apartamento,Apartamento en venta en Hayuelos,3,2,61,Hayuelos,Modelia,$ 300.000.000,$,300000000,300.0,4.918032786885246,4.814082765845993
